Date,Draw,1,2,3,4,5,PB
2019/09/10,1023,2,14,20,31,38,2
2019/09/06,1022,2,4,14,35,43,14
2019/09/03,1021,2,9,14,29,30,8
2019/08/30,1020,9,10,14,19,28,2
2019/08/27,1019,3,8,10,26,42,17
2019/08/23,1018,19,20,21,37,42,5
2019/08/20,1017,3,19,23,28,41,15
2019/08/16,1016,18,25,29,41,44,2
2019/08/13,1015,6,9,11,35,45,11
2019/08/09,1014,1,16,18,28,37,11
2019/08/06,1013,5,14,28,29,40,18
2019/08/02,1012,8,15,17,28,40,12
2019/07/30,1011,6,10,16,40,45,13
2019/07/26,1010,8,38,40,48,49,8
2019/07/23,1009,2,20,23,25,46,8
2019/07/19,1008,7,22,34,44,49,12
2019/07/16,1007,1,19,34,48,50,13
2019/07/12,1006,2,14,15,22,45,2
2019/07/09,1005,2,10,22,36,38,19
2019/07/05,1004,7,11,13,18,37,17
2019/07/02,1003,11,15,19,25,28,4
2019/06/28,1002,31,36,40,45,50,10
2019/06/25,1001,9,11,27,42,46,13
2019/06/21,1000,19,24,30,34,46,15
2019/06/18,999,18,25,38,39,41,4
2019/06/14,998,5,20,37,42,47,5
2019/06/11,997,7,8,29,47,48,14
2019/06/07,996,19,21,23,36,50,6
2019/06/04,995,21,28,33,36,39,4
2019/05/31,994,4,18,25,28,47,11
2019/05/28,993,15,18,31,32,45,18
2019/05/24,992,5,9,24,29,39,19
2019/05/21,991,7,21,33,38,41,19
2019/05/17,990,2,3,7,10,29,10
2019/05/14,989,8,12,16,24,50,8
2019/05/10,988,1,7,15,19,47,10
2019/05/07,987,6,15,20,21,35,6
2019/05/03,986,13,25,27,33,37,16
2019/04/30,985,15,19,21,36,49,6
2019/04/26,984,6,19,45,47,50,1
2019/04/23,983,3,23,25,38,44,9
2019/04/19,982,1,8,35,38,40,7
2019/04/16,981,1,18,33,46,48,6
2019/04/12,980,1,31,35,44,49,2
2019/04/09,979,10,28,34,37,48,8
2019/04/05,978,2,11,17,19,40,11
2019/04/02,977,5,11,21,24,45,1
2019/03/29,976,3,13,14,30,45,2
2019/03/26,975,16,19,38,40,50,5
2019/03/22,974,5,8,25,31,36,4
2019/03/19,973,8,15,21,22,35,5
2019/03/15,972,17,22,42,46,50,1
2019/03/12,971,18,21,24,26,36,14
2019/03/08,970,16,29,34,38,47,10
2019/03/05,969,5,8,20,30,41,2
2019/03/01,968,5,24,30,33,34,6
2019/02/26,967,5,15,26,44,47,12
2019/02/22,966,1,20,24,34,46,17
2019/02/19,965,14,16,32,38,50,19
2019/02/15,964,7,13,19,27,36,13
2019/02/12,963,14,16,19,31,34,7
2019/02/08,962,4,6,21,24,47,8
2019/02/05,961,4,7,13,33,35,19
2019/02/01,960,7,30,34,41,45,7
2019/01/29,959,13,24,28,35,37,9
2019/01/25,958,10,20,23,26,45,3
2019/01/22,957,17,28,40,42,45,16
2019/01/18,956,12,14,26,28,45,3
2019/01/15,955,2,3,15,20,49,20
2019/01/11,954,2,3,12,14,20,1
2019/01/08,953,17,25,31,38,39,7
2019/01/04,952,24,27,34,44,45,18
2019/01/01,951,6,25,29,32,48,18
2018/12/28,950,10,24,30,45,48,16
2018/12/25,949,27,36,37,43,45,12
2018/12/21,948,21,36,37,39,44,13
2018/12/18,947,1,11,16,22,48,13
2018/12/14,946,7,30,33,42,49,19
2018/12/11,945,3,8,12,24,28,10
2018/12/07,944,3,16,26,33,43,6
2018/12/04,943,7,10,13,39,45,5
2018/11/30,942,4,13,14,26,35,3
2018/11/27,941,4,12,22,41,46,5
2018/11/23,940,4,9,35,43,45,5
2018/11/20,939,23,35,39,40,44,8
2018/11/16,938,1,23,37,43,46,11
2018/11/13,937,9,16,20,26,41,15
2018/11/09,936,15,19,22,41,43,11
2018/11/06,935,1,5,19,25,46,7
2018/11/02,934,11,28,39,40,45,16
2018/10/30,933,22,28,31,36,40,14
2018/10/26,932,18,29,36,41,45,1
2018/10/23,931,13,14,28,47,48,5
2018/10/19,930,8,17,22,43,48,4
2018/10/16,929,5,9,19,36,43,14
2018/10/12,928,12,13,15,21,22,3
2018/10/09,927,1,23,37,44,48,18
2018/10/05,926,11,24,29,45,49,11
2018/10/02,925,20,22,26,32,41,15
2018/09/28,924,2,24,31,45,46,10
2018/09/25,923,15,16,20,41,43,12
2018/09/21,922,33,36,40,44,50,19
2018/09/18,921,3,12,26,33,37,16
2018/09/14,920,5,40,45,49,50,17
2018/09/11,919,2,10,36,48,50,11
2018/09/07,918,4,9,24,27,34,17
2018/09/04,917,6,22,23,44,48,11
2018/08/31,916,4,5,7,35,50,6
2018/08/28,915,14,17,19,35,46,2
2018/08/24,914,10,16,31,32,33,18
2018/08/21,913,10,20,31,32,36,17
2018/08/17,912,6,8,22,35,42,19
2018/08/14,911,6,23,38,43,47,17
2018/08/10,910,10,14,28,30,39,6
2018/08/07,909,8,14,27,35,40,2
2018/08/03,908,1,18,24,40,48,19
2018/07/31,907,12,40,42,44,45,14
2018/07/27,906,2,11,13,15,39,2
2018/07/24,905,6,17,26,41,50,16
2018/07/20,904,1,19,21,25,32,4
2018/07/17,903,12,28,31,35,41,1
2018/07/13,902,14,23,38,41,47,3
2018/07/10,901,10,14,18,33,40,12
2018/07/06,900,18,21,22,38,48,8
2018/07/03,899,20,28,29,30,39,9
2018/06/29,898,11,14,29,32,36,18
2018/06/26,897,11,23,25,43,49,12
2018/06/22,896,9,33,38,42,44,12
2018/06/19,895,17,23,39,43,50,19
