Date,Draw,1,2,3,4,5,PB
2019/07/23,1009,4,6,35,45,48,20
2019/07/19,1008,3,12,13,20,41,16
2019/07/16,1007,3,5,20,23,40,14
2019/07/12,1006,29,35,46,47,48,17
2019/07/09,1005,9,12,28,44,49,13
2019/07/05,1004,28,37,39,46,47,12
2019/07/02,1003,16,29,43,44,47,15
2019/06/28,1002,3,13,16,33,41,10
2019/06/25,1001,3,32,33,38,40,11
2019/06/21,1000,8,15,28,46,49,8
2019/06/18,999,2,3,17,20,33,3
2019/06/14,998,24,26,27,35,39,15
2019/06/11,997,11,14,15,38,47,13
2019/06/07,996,4,11,21,22,45,14
2019/06/04,995,10,16,22,46,50,19
2019/05/31,994,5,21,25,27,47,12
2019/05/28,993,15,21,25,33,43,17
2019/05/24,992,3,25,29,38,39,7
2019/05/21,991,3,11,15,33,43,13
2019/05/17,990,9,19,29,31,46,17
2019/05/14,989,15,18,34,44,46,16
2019/05/10,988,14,22,23,39,43,15
2019/05/07,987,15,22,30,45,48,13
2019/05/03,986,13,18,20,35,36,11
2019/04/30,985,1,3,20,46,48,5
2019/04/26,984,13,16,19,43,49,13
2019/04/23,983,10,35,37,46,48,9
2019/04/19,982,17,19,25,43,47,4
2019/04/16,981,5,6,32,44,48,5
2019/04/12,980,28,35,41,43,50,12
2019/04/09,979,5,11,13,28,38,14
2019/04/05,978,15,22,29,31,48,3
2019/04/02,977,11,29,35,38,41,18
2019/03/29,976,3,6,11,13,31,13
2019/03/26,975,1,8,24,26,30,2
2019/03/22,974,8,10,15,34,35,16
2019/03/19,973,3,16,32,33,36,7
2019/03/15,972,19,36,40,45,49,5
2019/03/12,971,8,27,40,46,48,18
2019/03/08,970,4,5,7,11,22,3
2019/03/05,969,1,18,24,48,49,20
2019/03/01,968,24,29,34,46,49,15
2019/02/26,967,10,20,28,31,33,12
2019/02/22,966,7,9,10,11,40,2
2019/02/19,965,14,18,21,26,35,5
2019/02/15,964,19,20,37,42,43,17
2019/02/12,963,15,16,24,38,47,13
2019/02/08,962,22,30,39,41,42,11
2019/02/05,961,5,28,31,35,50,9
2019/02/01,960,5,13,19,39,41,3
2019/01/29,959,6,7,23,25,29,5
2019/01/25,958,20,27,31,40,41,9
2019/01/22,957,6,15,24,41,47,3
2019/01/18,956,8,23,26,38,40,9
2019/01/15,955,9,13,24,27,29,20
2019/01/11,954,8,21,25,29,42,15
2019/01/08,953,2,15,35,44,46,13
2019/01/04,952,7,9,24,26,29,1
2019/01/01,951,42,44,46,47,48,11
2018/12/28,950,18,21,30,32,50,8
2018/12/25,949,13,16,28,29,30,7
2018/12/21,948,22,34,40,44,48,2
2018/12/18,947,3,5,14,20,32,16
2018/12/14,946,4,5,9,16,20,3
2018/12/11,945,7,29,39,42,48,7
2018/12/07,944,3,6,22,33,47,15
2018/12/04,943,5,13,20,33,34,6
2018/11/30,942,12,15,25,29,49,7
2018/11/27,941,12,27,39,41,46,10
2018/11/23,940,3,6,8,23,30,8
2018/11/20,939,14,32,33,37,47,15
2018/11/16,938,20,24,32,33,35,18
2018/11/13,937,4,6,19,24,41,8
2018/11/09,936,6,7,10,19,43,20
2018/11/06,935,10,20,48,49,50,12
2018/11/02,934,2,30,36,42,47,13
2018/10/30,933,19,20,24,27,29,19
2018/10/26,932,2,15,19,24,38,20
2018/10/23,931,4,17,21,28,48,20
2018/10/19,930,1,32,39,41,43,6
2018/10/16,929,2,8,27,35,41,8
2018/10/12,928,1,2,11,19,44,8
2018/10/09,927,5,13,22,24,40,5
2018/10/05,926,32,36,42,46,49,11
2018/10/02,925,3,7,15,24,35,18
2018/09/28,924,7,24,31,36,50,2
2018/09/25,923,7,15,17,30,40,11
2018/09/21,922,28,32,39,43,46,8
2018/09/18,921,15,22,23,31,38,1
2018/09/14,920,10,17,29,31,40,9
2018/09/11,919,3,26,34,40,50,12
2018/09/07,918,9,11,20,28,44,6
2018/09/04,917,3,13,24,25,41,8
2018/08/31,916,7,38,42,43,47,3
2018/08/28,915,4,13,21,41,44,15
2018/08/24,914,3,6,25,27,40,4
2018/08/21,913,19,21,23,34,45,9
2018/08/17,912,9,19,24,35,42,10
2018/08/14,911,13,29,32,38,45,5
2018/08/10,910,3,10,14,43,50,14
2018/08/07,909,2,3,19,24,30,3
2018/08/03,908,1,15,23,24,35,4
2018/07/31,907,3,6,14,34,36,12
2018/07/27,906,4,15,19,33,36,2
2018/07/24,905,9,15,18,24,29,19
2018/07/20,904,9,21,22,33,39,5
2018/07/17,903,12,26,34,35,44,4
2018/07/13,902,13,14,34,38,45,11
2018/07/10,901,1,31,34,38,46,12
2018/07/06,900,8,16,19,35,39,11
2018/07/03,899,3,38,48,49,50,18
2018/06/29,898,15,22,25,31,37,16
2018/06/26,897,15,25,39,43,50,14
2018/06/22,896,2,6,13,14,19,17
2018/06/19,895,12,20,23,24,37,4
